source,station_name,line_name,passenger_flow,latitude,longitude
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Белокаменная,Московское центральное кольцо,1551184,55.82912562,37.70183285
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Ботанический сад,Московское центральное кольцо,6187840,55.84585761,37.63968853
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Бульвар Рокоссовского,Московское центральное кольцо,4803981,55.8158136,37.73755972
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Верхние Котлы,Московское центральное кольцо,7650416,55.68985871,37.61824029
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Владыкино,Московское центральное кольцо,4126446,55.84831118,37.59090349
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Дубровка,Московское центральное кольцо,3940890,55.71306246,37.6759048
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,ЗИЛ,Московское центральное кольцо,5705638,55.6995223,37.64854431
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Зорге,Московское центральное кольцо,2686748,55.78900852,37.50255536
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Измайлово,Московское центральное кольцо,5281473,55.78846055,37.74617867
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Коптево,Московское центральное кольцо,8088258,55.84096633,37.5208251
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Крымская,Московское центральное кольцо,5323257,55.68993545,37.60651572
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Кутузовская,Московское центральное кольцо,9937400,55.74022774,37.53351976
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Лихоборы,Московское центральное кольцо,6547376,55.84706581,37.55337432
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Локомотив,Московское центральное кольцо,5760150,55.80301406,37.7474719
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Лужники,Московское центральное кольцо,6239543,55.72092478,37.560938
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Москва-Сити,Московское центральное кольцо,10896134,55.74788746,37.53298398
