name,lat,lon,district,addr,avg_comp_rating,dist_metro,stops_cnt,c300,c1k,pop_dens,income,office_dens,avg_rent,avail_space
Фо Оань,55.7571867,37.6321945,CAO,,,9.52317526661604,16,46,411,12500,110000,2,45000,342
Kurnik,55.7551528,37.6220302,CAO,,,167.3239873512677,7,30,375,12500,110000,0,45000,342
True Cost,55.7087675,37.5979534,CAO,,,646.8123953076945,0,14,84,12500,110000,1,45000,342
True Cost,55.740901,37.6288953,CAO,,,62.33714775137288,9,60,217,12500,110000,0,45000,342
One Price Coffee,55.65368,37.6187968,CAO,,,46.459864035431266,17,15,48,12500,110000,0,45000,342
Дон Кюфта,55.7314547,37.5919935,CAO,,,418.0784873367697,11,11,164,12500,110000,0,45000,342
Kulek,55.7585057,37.6395155,CAO,,,489.0835723126727,6,46,391,12500,110000,3,45000,342
Bebi,55.7643671,37.5691285,CAO,,,436.75999314654695,16,28,149,12500,110000,1,45000,342
Nova,55.7597432,37.6476467,CAO,,,675.781342680838,5,53,416,12500,110000,0,45000,342
Patisserie Francois Bodrero,55.7610645,37.6233794,CAO,,,83.24660328770537,12,78,479,12500,110000,0,45000,342
Кофемания,55.7116343,37.5627136,CAO,,,81.37517340009565,5,9,35,12500,110000,0,45000,342
Шаурма арабская,55.6415654,37.5241212,UZAO,,,68.28761449045123,13,15,68,10500,98000,0,29000,165
Донер Самса,55.6415636,37.5239407,UZAO,,,79.60596947694474,13,15,68,10500,98000,0,29000,165
Dona,55.6414986,37.5240841,UZAO,,,71.45997042116558,13,15,68,10500,98000,0,29000,165
La Raquette,55.7122203,37.564643,CAO,,,209.35119472004513,5,7,35,12500,110000,0,45000,342
Блик,55.7080835,37.6069612,CAO,,,972.8928467300876,2,1,134,12500,110000,0,45000,342
J'pan,55.7612463,37.6148674,CAO,,,325.4919260888397,11,57,455,12500,110000,1,45000,342
,55.7598534,37.6157042,CAO,,,170.23205154147658,8,52,439,12500,110000,1,45000,342
Soul Burger,55.7529585,37.5888949,CAO,,,601.8922537914121,9,40,278,12500,110000,0,45000,342
Гюго,55.7454796,37.6285292,CAO,,,334.1434844624124,17,40,167,12500,110000,0,45000,342
Подъезд,55.7724496,37.6063361,CAO,,,652.9784602201975,23,30,367,12500,110000,0,45000,342
Senior Rodrigez,55.7160577,37.5453237,CAO,,,1081.1028598260843,0,1,26,12500,110000,0,45000,342
Salone,55.7712211,37.6056125,CAO,,,555.7952230708433,19,32,373,12500,110000,0,45000,342
The Бык,55.75511,37.622396,CAO,,,175.59720139789806,8,31,377,12500,110000,0,45000,342
Korean cuisine,55.6935702,37.5339545,UZAO,,,33.83598104386969,11,21,70,10500,98000,0,29000,165
Панда,55.6936133,37.5340137,UZAO,,,31.19854668328484,11,21,70,10500,98000,0,29000,165
Grills hot dog,55.6934935,37.5340167,UZAO,,,29.974436536522216,13,21,68,10500,98000,0,29000,165
Додо Пицца,55.7601183,37.6256284,CAO,,,27.12059134697529,11,84,484,12500,110000,0,45000,342
